xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
ARG,2022,FALSE,INC,,,,No education,T60,.521508,2017
ARG,2022,FALSE,INC,,Male,,,B40,.3900462,2017
ARG,2022,FALSE,INC,,Male,,,T60,.6099538,2017
ARG,2022,FALSE,INC,,Female,,,B40,.4090831,2017
ARG,2022,FALSE,INC,,Female,,,T60,.5909169,2017
ARG,2022,FALSE,INC,U,,,,B40,.3998334,2017
ARG,2022,FALSE,INC,U,,,,T60,.6001666,2017
ARM,2022,FALSE,CONS,,,0-14,,B40,.5163109,2017
ARM,2022,FALSE,CONS,,,0-14,,T60,.4836891,2017
ARM,2022,FALSE,CONS,,,15-64,,B40,.3920693,2017
ARM,2022,FALSE,CONS,,,15-64,,T60,.6079307,2017
ARM,2022,FALSE,CONS,,,>65,,B40,.3033455,2017
ARM,2022,FALSE,CONS,,,>65,,T60,.6966545,2017
ARM,2022,FALSE,CONS,,,,Primary education,B40,.3905823,2017
ARM,2022,FALSE,CONS,,,,Primary education,T60,.6094177,2017
ARM,2022,FALSE,CONS,,,,Tertiary education,B40,.2869345,2017
ARM,2022,FALSE,CONS,,,,Tertiary education,T60,.7130654,2017
ARM,2022,FALSE,CONS,,,,Secondary education,B40,.4067957,2017
ARM,2022,FALSE,CONS,,,,Secondary education,T60,.5932043,2017
ARM,2022,FALSE,CONS,,Male,,,B40,.4076425,2017
ARM,2022,FALSE,CONS,,Male,,,T60,.5923576,2017
ARM,2022,FALSE,CONS,,Female,,,B40,.3932845,2017
ARM,2022,FALSE,CONS,,Female,,,T60,.6067155,2017
ARM,2022,FALSE,CONS,R,,,,B40,.46654,2017
ARM,2022,FALSE,CONS,R,,,,T60,.53346,2017
ARM,2022,FALSE,CONS,U,,,,B40,.355318,2017
ARM,2022,FALSE,CONS,U,,,,T60,.644682,2017
BDI,2020,FALSE,CONS,,,0-14,,B40,.4524292,2017
BDI,2020,FALSE,CONS,,,0-14,,T60,.5475708,2017
BDI,2020,FALSE,CONS,,,15-64,,B40,.357462,2017
BDI,2020,FALSE,CONS,,,15-64,,T60,.642538,2017
BDI,2020,FALSE,CONS,,,>65,,B40,.2657842,2017
BDI,2020,FALSE,CONS,,,>65,,T60,.7342159,2017
BDI,2020,FALSE,CONS,,,,Primary education,B40,.3436503,2017
BDI,2020,FALSE,CONS,,,,Primary education,T60,.6563497,2017
BDI,2020,FALSE,CONS,,,,Tertiary education,T60,.9670572,2017
BDI,2020,FALSE,CONS,,,,Secondary education,B40,.3085647,2017
BDI,2020,FALSE,CONS,,,,Secondary education,T60,.6914353,2017
BDI,2020,FALSE,CONS,,,,No education,B40,.4232555,2017
BDI,2020,FALSE,CONS,,,,No education,T60,.5767444,2017
BDI,2020,FALSE,CONS,,Male,,,B40,.3960397,2017
BDI,2020,FALSE,CONS,,Male,,,T60,.6039603,2017
BDI,2020,FALSE,CONS,,Female,,,B40,.4035064,2017
BDI,2020,FALSE,CONS,,Female,,,T60,.5964937,2017
BDI,2020,FALSE,CONS,R,,,,B40,.4290678,2017
BDI,2020,FALSE,CONS,R,,,,T60,.5709322,2017
BDI,2020,FALSE,CONS,U,,,,B40,.1481162,2017
BDI,2020,FALSE,CONS,U,,,,T60,.8518838,2017
BFA,2021,FALSE,CONS,,,0-14,,B40,.4413759,2017
BFA,2021,FALSE,CONS,,,0-14,,T60,.5586241,2017
BFA,2021,FALSE,CONS,,,15-64,,B40,.3598816,2017
BFA,2021,FALSE,CONS,,,15-64,,T60,.6401184,2017
BFA,2021,FALSE,CONS,,,>65,,B40,.4071845,2017
BFA,2021,FALSE,CONS,,,>65,,T60,.5928155,2017
BFA,2021,FALSE,CONS,,,,Primary education,B40,.2881652,2017
BFA,2021,FALSE,CONS,,,,Primary education,T60,.7118348,2017
BFA,2021,FALSE,CONS,,,,Tertiary education,T60,.9903827,2017
BFA,2021,FALSE,CONS,,,,Secondary education,B40,.2082738,2017
BFA,2021,FALSE,CONS,,,,Secondary education,T60,.7917262,2017
BFA,2021,FALSE,CONS,,,,No education,B40,.4520195,2017
BFA,2021,FALSE,CONS,,,,No education,T60,.5479805,2017
BFA,2021,FALSE,CONS,,Male,,,B40,.3986808,2017
BFA,2021,FALSE,CONS,,Male,,,T60,.6013192,2017
BFA,2021,FALSE,CONS,,Female,,,B40,.4011879,2017
BFA,2021,FALSE,CONS,,Female,,,T60,.5988121,2017
BFA,2021,FALSE,CONS,R,,,,B40,.4967446,2017
BFA,2021,FALSE,CONS,R,,,,T60,.5032554,2017
BFA,2021,FALSE,CONS,U,,,,B40,.129336,2017
BFA,2021,FALSE,CONS,U,,,,T60,.870664,2017
BGD,2022,FALSE,CONS,,,0-14,,B40,.4652634,2017
BGD,2022,FALSE,CONS,,,0-14,,T60,.5347366,2017
BGD,2022,FALSE,CONS,,,15-64,,B40,.372316,2017
BGD,2022,FALSE,CONS,,,15-64,,T60,.6276839,2017
BGD,2022,FALSE,CONS,,,>65,,B40,.3969052,2017
BGD,2022,FALSE,CONS,,,>65,,T60,.6030949,2017
BGD,2022,FALSE,CONS,,,,Primary education,B40,.4415895,2017
BGD,2022,FALSE,CONS,,,,Primary education,T60,.5584105,2017
BGD,2022,FALSE,CONS,,,,Tertiary education,B40,.1558031,2017
BGD,2022,FALSE,CONS,,,,Tertiary education,T60,.8441969,2017
BGD,2022,FALSE,CONS,,,,Secondary education,B40,.3220547,2017
BGD,2022,FALSE,CONS,,,,Secondary education,T60,.6779453,2017
BGD,2022,FALSE,CONS,,,,No education,B40,.5055432,2017
BGD,2022,FALSE,CONS,,,,No education,T60,.4944568,2017
BGD,2022,FALSE,CONS,,Male,,,B40,.400899,2017
BGD,2022,FALSE,CONS,,Male,,,T60,.599101,2017
BGD,2022,FALSE,CONS,,Female,,,B40,.3990366,2017
BGD,2022,FALSE,CONS,,Female,,,T60,.6009634,2017
BGD,2022,FALSE,CONS,R,,,,B40,.433331,2017
BGD,2022,FALSE,CONS,R,,,,T60,.566669,2017
BGD,2022,FALSE,CONS,U,,,,B40,.2039864,2017
BGD,2022,FALSE,CONS,U,,,,T60,.7960136,2017
BGR,2021,FALSE,INC,,,0-14,,B40,.5445772,2017
BGR,2021,FALSE,INC,,,0-14,,T60,.4554228,2017
BGR,2021,FALSE,INC,,,15-64,,B40,.3536794,2017
BGR,2021,FALSE,INC,,,15-64,,T60,.6463206,2017
BGR,2021,FALSE,INC,,,>65,,B40,.4399508,2017
BGR,2021,FALSE,INC,,,>65,,T60,.5600492,2017
BGR,2021,FALSE,INC,,,,Primary education,B40,.8410574,2017
BGR,2021,FALSE,INC,,,,Primary education,T60,.1589426,2017
BGR,2021,FALSE,INC,,,,Tertiary education,B40,.1645737,2017
BGR,2021,FALSE,INC,,,,Tertiary education,T60,.8354263,2017
BGR,2021,FALSE,INC,,,,Secondary education,B40,.4174541,2017
BGR,2021,FALSE,INC,,,,Secondary education,T60,.5825459,2017
BGR,2021,FALSE,INC,,,,No education,B40,.8236106,2017
BGR,2021,FALSE,INC,,,,No education,T60,.1763894,2017
BGR,2021,FALSE,INC,,Male,,,B40,.3728661,2017
BGR,2021,FALSE,INC,,Male,,,T60,.6271339,2017
BGR,2021,FALSE,INC,,Female,,,B40,.4252858,2017
BGR,2021,FALSE,INC,,Female,,,T60,.5747142,2017
BGR,2021,FALSE,INC,R,,,,B40,.5306074,2017
BGR,2021,FALSE,INC,R,,,,T60,.4693926,2017
BGR,2021,FALSE,INC,U,,,,B40,.3406089,2017
BGR,2021,FALSE,INC,U,,,,T60,.6593912,2017
BLR,2020,FALSE,CONS,,,0-14,,B40,.5511427,2017
BLR,2020,FALSE,CONS,,,0-14,,T60,.4488573,2017
BLR,2020,FALSE,CONS,,,15-64,,B40,.3784763,2017
BLR,2020,FALSE,CONS,,,15-64,,T60,.6215237,2017
BLR,2020,FALSE,CONS,,,>65,,B40,.3343788,2017
BLR,2020,FALSE,CONS,,,>65,,T60,.6656212,2017
BLR,2020,FALSE,CONS,,Male,,,B40,.4178081,2017
BLR,2020,FALSE,CONS,,Male,,,T60,.5821919,2017
BLR,2020,FALSE,CONS,,Female,,,B40,.3862644,2017
BLR,2020,FALSE,CONS,,Female,,,T60,.6137356,2017
BLR,2020,FALSE,CONS,R,,,,B40,.5623227,2017
BLR,2020,FALSE,CONS,R,,,,T60,.4376773,2017
BLR,2020,FALSE,CONS,U,,,,B40,.3438406,2017
BLR,2020,FALSE,CONS,U,,,,T60,.6561594,2017
BOL,2021,FALSE,INC,,,0-14,,B40,.5379632,2017
BOL,2021,FALSE,INC,,,0-14,,T60,.4620368,2017
BOL,2021,FALSE,INC,,,15-64,,B40,.3417246,2017
BOL,2021,FALSE,INC,,,15-64,,T60,.6582754,2017
BOL,2021,FALSE,INC,,,>65,,B40,.3525871,2017
BOL,2021,FALSE,INC,,,>65,,T60,.6474129,2017
BOL,2021,FALSE,INC,,,,Primary education,B40,.4558788,2017
BOL,2021,FALSE,INC,,,,Primary education,T60,.5441212,2017
BOL,2021,FALSE,INC,,,,Tertiary education,B40,.1474583,2017
BOL,2021,FALSE,INC,,,,Tertiary education,T60,.8525417,2017
BOL,2021,FALSE,INC,,,,Secondary education,B40,.3664559,2017
BOL,2021,FALSE,INC,,,,Secondary education,T60,.6335441,2017
BOL,2021,FALSE,INC,,,,No education,B40,.5902832,2017
BOL,2021,FALSE,INC,,,,No education,T60,.4097168,2017
BOL,2021,FALSE,INC,,Male,,,B40,.389522,2017
BOL,2021,FALSE,INC,,Male,,,T60,.610478,2017
BOL,2021,FALSE,INC,,Female,,,B40,.4101092,2017
BOL,2021,FALSE,INC,,Female,,,T60,.5898908,2017
BOL,2021,FALSE,INC,R,,,,B40,.5988863,2017
BOL,2021,FALSE,INC,R,,,,T60,.4011138,2017
BOL,2021,FALSE,INC,U,,,,B40,.3169062,2017
BOL,2021,FALSE,INC,U,,,,T60,.6830938,2017
BRA,2022,FALSE,INC,,,0-14,,B40,.6063328,2017
BRA,2022,FALSE,INC,,,0-14,,T60,.3936672,2017
BRA,2022,FALSE,INC,,,15-64,,B40,.3732143,2017
BRA,2022,FALSE,INC,,,15-64,,T60,.6267857,2017
BRA,2022,FALSE,INC,,,>65,,B40,.1652215,2017
BRA,2022,FALSE,INC,,,>65,,T60,.8347785,2017
BRA,2022,FALSE,INC,,,,Primary education,B40,.4403621,2017
BRA,2022,FALSE,INC,,,,Primary education,T60,.5596379,2017
BRA,2022,FALSE,INC,,,,Tertiary education,B40,.1094645,2017
BRA,2022,FALSE,INC,,,,Tertiary education,T60,.8905355,2017
BRA,2022,FALSE,INC,,,,Secondary education,B40,.3922331,2017
BRA,2022,FALSE,INC,,,,Secondary education,T60,.6077669,2017
BRA,2022,FALSE,INC,,,,No education,B40,.4526071,2017
BRA,2022,FALSE,INC,,,,No education,T60,.5473929,2017
BRA,2022,FALSE,INC,,Male,,,B40,.3909082,2017
BRA,2022,FALSE,INC,,Male,,,T60,.6090918,2017
BRA,2022,FALSE,INC,,Female,,,B40,.4067457,2017
BRA,2022,FALSE,INC,,Female,,,T60,.5932543,2017
BRA,2022,FALSE,INC,R,,,,B40,.5804356,2017
BRA,2022,FALSE,INC,R,,,,T60,.4195643,2017
BRA,2022,FALSE,INC,U,,,,B40,.3710872,2017
BRA,2022,FALSE,INC,U,,,,T60,.6289129,2017
BTN,2022,FALSE,CONS,,,0-14,,B40,.4455113,2017
BTN,2022,FALSE,CONS,,,0-14,,T60,.5544887,2017
BTN,2022,FALSE,CONS,,,15-64,,B40,.3736289,2017
BTN,2022,FALSE,CONS,,,15-64,,T60,.6263711,2017
BTN,2022,FALSE,CONS,,,>65,,B40,.4774656,2017
BTN,2022,FALSE,CONS,,,>65,,T60,.5225344,2017
BTN,2022,FALSE,CONS,,,,Primary education,B40,.381123,2017
BTN,2022,FALSE,CONS,,,,Primary education,T60,.618877,2017
BTN,2022,FALSE,CONS,,,,Tertiary education,B40,.126266,2017
BTN,2022,FALSE,CONS,,,,Tertiary education,T60,.8737339,2017
BTN,2022,FALSE,CONS,,,,Secondary education,B40,.3277197,2017
BTN,2022,FALSE,CONS,,,,Secondary education,T60,.6722804,2017
BTN,2022,FALSE,CONS,,,,No education,B40,.3576912,2017
BTN,2022,FALSE,CONS,,,,No education,T60,.6423088,2017
BTN,2022,FALSE,CONS,,Male,,,B40,.4023915,2017
BTN,2022,FALSE,CONS,,Male,,,T60,.5976085,2017
BTN,2022,FALSE,CONS,,Female,,,B40,.3977069,2017
BTN,2022,FALSE,CONS,,Female,,,T60,.6022931,2017
BWA,2015,FALSE,CONS,,,0-14,,B40,.5197824,2017
BWA,2015,FALSE,CONS,,,0-14,,T60,.4802176,2017
BWA,2015,FALSE,CONS,,,15-64,,B40,.3281702,2017
BWA,2015,FALSE,CONS,,,15-64,,T60,.6718298,2017
BWA,2015,FALSE,CONS,,,>65,,B40,.4376616,2017
BWA,2015,FALSE,CONS,,,>65,,T60,.5623384,2017
BWA,2015,FALSE,CONS,,,,Primary education,B40,.4146119,2017
BWA,2015,FALSE,CONS,,,,Primary education,T60,.5853881,2017
BWA,2015,FALSE,CONS,,,,Tertiary education,B40,.0852472,2017
BWA,2015,FALSE,CONS,,,,Tertiary education,T60,.9147528,2017
BWA,2015,FALSE,CONS,,,,Secondary education,B40,.3446758,2017
BWA,2015,FALSE,CONS,,,,Secondary education,T60,.6553242,2017
BWA,2015,FALSE,CONS,,,,No education,B40,.5528213,2017
BWA,2015,FALSE,CONS,,,,No education,T60,.4471787,2017
BWA,2015,FALSE,CONS,,Male,,,B40,.38192,2017
BWA,2015,FALSE,CONS,,Male,,,T60,.6180801,2017
BWA,2015,FALSE,CONS,,Female,,,B40,.4160101,2017
BWA,2015,FALSE,CONS,,Female,,,T60,.5839899,2017
BWA,2015,FALSE,CONS,R,,,,B40,.5712372,2017
BWA,2015,FALSE,CONS,R,,,,T60,.4287628,2017
BWA,2015,FALSE,CONS,U,,,,B40,.3080083,2017
BWA,2015,FALSE,CONS,U,,,,T60,.6919917,2017
CAF,2021,FALSE,CONS,,,0-14,,B40,.3873853,2017
CAF,2021,FALSE,CONS,,,0-14,,T60,.6126147,2017
CAF,2021,FALSE,CONS,,,15-64,,B40,.3056228,2017
CAF,2021,FALSE,CONS,,,15-64,,T60,.6943772,2017
CAF,2021,FALSE,CONS,,,>65,,B40,.315935,2017
CAF,2021,FALSE,CONS,,,>65,,T60,.684065,2017
CAF,2021,FALSE,CONS,,,,Primary education,B40,.3430717,2017
CAF,2021,FALSE,CONS,,,,Primary education,T60,.6569283,2017
CAF,2021,FALSE,CONS,,,,Tertiary education,T60,.975351,2017
CAF,2021,FALSE,CONS,,,,Secondary education,B40,.2709708,2017
CAF,2021,FALSE,CONS,,,,Secondary education,T60,.7290292,2017
CAF,2021,FALSE,CONS,,,,No education,B40,.3742931,2017
CAF,2021,FALSE,CONS,,,,No education,T60,.6257069,2017
CAF,2021,FALSE,CONS,,Male,,,B40,.3957267,2017
CAF,2021,FALSE,CONS,,Male,,,T60,.6042733,2017
CAF,2021,FALSE,CONS,,Female,,,B40,.4041061,2017
CAF,2021,FALSE,CONS,,Female,,,T60,.5958939,2017
CAF,2021,FALSE,CONS,R,,,,B40,.5059248,2017
CAF,2021,FALSE,CONS,R,,,,T60,.4940752,2017
CAF,2021,FALSE,CONS,U,,,,B40,.2479712,2017
CAF,2021,FALSE,CONS,U,,,,T60,.7520288,2017
CHL,2022,FALSE,INC,,,0-14,,B40,.5758597,2017
CHL,2022,FALSE,INC,,,0-14,,T60,.4241403,2017
CHL,2022,FALSE,INC,,,15-64,,B40,.383494,2017
CHL,2022,FALSE,INC,,,15-64,,T60,.6165059,2017
CHL,2022,FALSE,INC,,,>65,,B40,.2307437,2017
CHL,2022,FALSE,INC,,,>65,,T60,.7692564,2017
CHL,2022,FALSE,INC,,,,Primary education,B40,.430501,2017
CHL,2022,FALSE,INC,,,,Primary education,T60,.569499,2017
CHL,2022,FALSE,INC,,,,Tertiary education,B40,.2188082,2017
CHL,2022,FALSE,INC,,,,Tertiary education,T60,.7811918,2017
CHL,2022,FALSE,INC,,,,Secondary education,B40,.4408678,2017
CHL,2022,FALSE,INC,,,,Secondary education,T60,.5591322,2017
CHL,2022,FALSE,INC,,,,No education,B40,.4516746,2017
CHL,2022,FALSE,INC,,,,No education,T60,.5483254,2017
CHL,2022,FALSE,INC,,Male,,,B40,.3781838,2017
CHL,2022,FALSE,INC,,Male,,,T60,.6218162,2017
CHL,2022,FALSE,INC,,Female,,,B40,.4206898,2017
CHL,2022,FALSE,INC,,Female,,,T60,.5793102,2017
CHL,2022,FALSE,INC,R,,,,B40,.4497934,2017
CHL,2022,FALSE,INC,R,,,,T60,.5502065,2017
CHL,2022,FALSE,INC,U,,,,B40,.3933462,2017
CHL,2022,FALSE,INC,U,,,,T60,.6066538,2017
CIV,2021,FALSE,CONS,,,0-14,,B40,.4902717,2017
CIV,2021,FALSE,CONS,,,0-14,,T60,.5097284,2017
CIV,2021,FALSE,CONS,,,15-64,,B40,.3325924,2017
CIV,2021,FALSE,CONS,,,15-64,,T60,.6674076,2017
CIV,2021,FALSE,CONS,,,>65,,B40,.3512344,2017
CIV,2021,FALSE,CONS,,,>65,,T60,.6487656,2017
CIV,2021,FALSE,CONS,,,,Primary education,B40,.3115599,2017
CIV,2021,FALSE,CONS,,,,Primary education,T60,.68844,2017
CIV,2021,FALSE,CONS,,,,Tertiary education,B40,.0329779,2017
CIV,2021,FALSE,CONS,,,,Tertiary education,T60,.9670221,2017
CIV,2021,FALSE,CONS,,,,Secondary education,B40,.2041781,2017
CIV,2021,FALSE,CONS,,,,Secondary education,T60,.7958218,2017
CIV,2021,FALSE,CONS,,,,No education,B40,.4867441,2017
CIV,2021,FALSE,CONS,,,,No education,T60,.5132558,2017
CIV,2021,FALSE,CONS,,Male,,,B40,.3955967,2017
CIV,2021,FALSE,CONS,,Male,,,T60,.6044033,2017
CIV,2021,FALSE,CONS,,Female,,,B40,.4041494,2017
CIV,2021,FALSE,CONS,,Female,,,T60,.5958506,2017
CIV,2021,FALSE,CONS,R,,,,B40,.5914078,2017
CIV,2021,FALSE,CONS,R,,,,T60,.4085922,2017
CIV,2021,FALSE,CONS,U,,,,B40,.2281828,2017
CIV,2021,FALSE,CONS,U,,,,T60,.7718172,2017
CMR,2021,FALSE,CONS,R,,,,B40,.6145669,2017
CMR,2021,FALSE,CONS,R,,,,T60,.3854332,2017
CMR,2021,FALSE,CONS,U,,,,B40,.2149654,2017
CMR,2021,FALSE,CONS,U,,,,T60,.7850346,2017
COD,2012,FALSE,CONS,,,0-14,,B40,.4588985,2017
COD,2012,FALSE,CONS,,,0-14,,T60,.5411015,2017
COD,2012,FALSE,CONS,,,15-64,,B40,.3558207,2017
COD,2012,FALSE,CONS,,,15-64,,T60,.6441793,2017
COD,2012,FALSE,CONS,,,>65,,B40,.2494429,2017
COD,2012,FALSE,CONS,,,>65,,T60,.7505571,2017
COD,2012,FALSE,CONS,,,,Primary education,B40,.4258275,2017
COD,2012,FALSE,CONS,,,,Primary education,T60,.5741724,2017
COD,2012,FALSE,CONS,,,,Tertiary education,B40,.0620857,2017
COD,2012,FALSE,CONS,,,,Tertiary education,T60,.9379143,2017
COD,2012,FALSE,CONS,,,,Secondary education,B40,.2907781,2017
COD,2012,FALSE,CONS,,,,Secondary education,T60,.709222,2017
COD,2012,FALSE,CONS,,,,No education,B40,.4546489,2017
COD,2012,FALSE,CONS,,,,No education,T60,.5453511,2017
COD,2012,FALSE,CONS,,Male,,,B40,.4042167,2017
COD,2012,FALSE,CONS,,Male,,,T60,.5957833,2017
COD,2012,FALSE,CONS,,Female,,,B40,.3959067,2017
COD,2012,FALSE,CONS,,Female,,,T60,.6040933,2017
COD,2012,FALSE,CONS,R,,,,B40,.5354649,2017
COD,2012,FALSE,CONS,R,,,,T60,.4645351,2017
COD,2012,FALSE,CONS,U,,,,B40,.183834,2017
COD,2012,FALSE,CONS,U,,,,T60,.816166,2017
COG,2011,FALSE,CONS,,,0-14,,B40,.4794631,2017
COG,2011,FALSE,CONS,,,0-14,,T60,.5205369,2017
COG,2011,FALSE,CONS,,,15-64,,B40,.3438915,2017
COG,2011,FALSE,CONS,,,15-64,,T60,.6561085,2017
COG,2011,FALSE,CONS,,,>65,,B40,.4073485,2017
COG,2011,FALSE,CONS,,,>65,,T60,.5926515,2017
COG,2011,FALSE,CONS,,,,Primary education,B40,.5043349,2017
COG,2011,FALSE,CONS,,,,Primary education,T60,.495665,2017
COG,2011,FALSE,CONS,,,,Tertiary education,B40,.0877394,2017
COG,2011,FALSE,CONS,,,,Tertiary education,T60,.9122607,2017
COG,2011,FALSE,CONS,,,,Secondary education,B40,.2832537,2017
COG,2011,FALSE,CONS,,,,Secondary education,T60,.7167463,2017
COG,2011,FALSE,CONS,,,,No education,B40,.55606,2017
COG,2011,FALSE,CONS,,,,No education,T60,.4439401,2017
COG,2011,FALSE,CONS,,Male,,,B40,.3929252,2017
COG,2011,FALSE,CONS,,Male,,,T60,.6070748,2017
COG,2011,FALSE,CONS,,Female,,,B40,.406486,2017
COG,2011,FALSE,CONS,,Female,,,T60,.593514,2017
COG,2011,FALSE,CONS,R,,,,B40,.7378061,2017
COG,2011,FALSE,CONS,R,,,,T60,.2621938,2017
COG,2011,FALSE,CONS,U,,,,B40,.2318763,2017
COG,2011,FALSE,CONS,U,,,,T60,.7681237,2017
COL,2022,FALSE,INC,,,0-14,,B40,.5715054,2017
COL,2022,FALSE,INC,,,0-14,,T60,.4284946,2017
COL,2022,FALSE,INC,,,15-64,,B40,.3565411,2017
COL,2022,FALSE,INC,,,15-64,,T60,.6434588,2017
COL,2022,FALSE,INC,,,>65,,B40,.2945736,2017
COL,2022,FALSE,INC,,,>65,,T60,.7054264,2017
COL,2022,FALSE,INC,,,,Primary education,B40,.4603571,2017
COL,2022,FALSE,INC,,,,Primary education,T60,.5396429,2017
COL,2022,FALSE,INC,,,,Tertiary education,B40,.1396085,2017
COL,2022,FALSE,INC,,,,Tertiary education,T60,.8603915,2017
COL,2022,FALSE,INC,,,,Secondary education,B40,.3887621,2017
COL,2022,FALSE,INC,,,,Secondary education,T60,.6112379,2017
COL,2022,FALSE,INC,,,,No education,B40,.6137692,2017
COL,2022,FALSE,INC,,,,No education,T60,.3862308,2017
COL,2022,FALSE,INC,,Male,,,B40,.3911038,2017
COL,2022,FALSE,INC,,Male,,,T60,.6088962,2017
COL,2022,FALSE,INC,,Female,,,B40,.4069036,2017
COL,2022,FALSE,INC,,Female,,,T60,.5930964,2017
COL,2022,FALSE,INC,R,,,,B40,.6342444,2017
COL,2022,FALSE,INC,R,,,,T60,.3657556,2017
COM,2014,FALSE,CONS,,,0-14,,B40,.4956472,2017
COM,2014,FALSE,CONS,,,0-14,,T60,.5043528,2017
COM,2014,FALSE,CONS,,,15-64,,B40,.3877597,2017
COM,2014,FALSE,CONS,,,15-64,,T60,.6122403,2017
COM,2014,FALSE,CONS,,,>65,,B40,.3014844,2017
COM,2014,FALSE,CONS,,,>65,,T60,.6985155,2017
COM,2014,FALSE,CONS,,,,Primary education,B40,.3914444,2017
COM,2014,FALSE,CONS,,,,Primary education,T60,.6085556,2017
COM,2014,FALSE,CONS,,,,Tertiary education,B40,.1852774,2017
COM,2014,FALSE,CONS,,,,Tertiary education,T60,.8147226,2017
COM,2014,FALSE,CONS,,,,Secondary education,B40,.3281196,2017
COM,2014,FALSE,CONS,,,,Secondary education,T60,.6718804,2017
COM,2014,FALSE,CONS,,Male,,,B40,.401361,2017
COM,2014,FALSE,CONS,,Male,,,T60,.598639,2017
COM,2014,FALSE,CONS,,Female,,,B40,.3987798,2017
COM,2014,FALSE,CONS,,Female,,,T60,.6012202,2017
COM,2014,FALSE,CONS,R,,,,B40,.4674722,2017
COM,2014,FALSE,CONS,R,,,,T60,.5325277,2017
COM,2014,FALSE,CONS,U,,,,B40,.2975741,2017
COM,2014,FALSE,CONS,U,,,,T60,.7024259,2017
CPV,2015,FALSE,CONS,,,0-14,,B40,.4873208,2017
CPV,2015,FALSE,CONS,,,0-14,,T60,.5126792,2017
CPV,2015,FALSE,CONS,,,15-64,,B40,.3620354,2017
CPV,2015,FALSE,CONS,,,15-64,,T60,.6379647,2017
CPV,2015,FALSE,CONS,,,>65,,B40,.3338081,2017
CPV,2015,FALSE,CONS,,,>65,,T60,.6661919,2017
CPV,2015,FALSE,CONS,,,,Primary education,B40,.4291991,2017
CPV,2015,FALSE,CONS,,,,Primary education,T60,.5708009,2017
CPV,2015,FALSE,CONS,,,,Tertiary education,B40,.0575977,2017
CPV,2015,FALSE,CONS,,,,Tertiary education,T60,.9424023,2017
CPV,2015,FALSE,CONS,,,,Secondary education,B40,.3344646,2017
CPV,2015,FALSE,CONS,,,,Secondary education,T60,.6655354,2017
CPV,2015,FALSE,CONS,,,,No education,B40,.4683113,2017
CPV,2015,FALSE,CONS,,,,No education,T60,.5316887,2017
CPV,2015,FALSE,CONS,,Male,,,B40,.3907386,2017
CPV,2015,FALSE,CONS,,Male,,,T60,.6092614,2017
CPV,2015,FALSE,CONS,,Female,,,B40,.4085151,2017
CPV,2015,FALSE,CONS,,Female,,,T60,.591485,2017
CPV,2015,FALSE,CONS,R,,,,B40,.5895846,2017
CPV,2015,FALSE,CONS,R,,,,T60,.4104154,2017
CPV,2015,FALSE,CONS,U,,,,B40,.2947803,2017
CPV,2015,FALSE,CONS,U,,,,T60,.7052197,2017
CRI,2022,FALSE,INC,,,0-14,,B40,.6116532,2017
CRI,2022,FALSE,INC,,,0-14,,T60,.3883468,2017
CRI,2022,FALSE,INC,,,15-64,,B40,.3659117,2017
CRI,2022,FALSE,INC,,,15-64,,T60,.6340883,2017
CRI,2022,FALSE,INC,,,>65,,B40,.2854485,2017
CRI,2022,FALSE,INC,,,>65,,T60,.7145515,2017
CRI,2022,FALSE,INC,,,,Primary education,B40,.4697577,2017
CRI,2022,FALSE,INC,,,,Primary education,T60,.5302423,2017
CRI,2022,FALSE,INC,,,,Tertiary education,B40,.0863121,2017
CRI,2022,FALSE,INC,,,,Tertiary education,T60,.9136879,2017
CRI,2022,FALSE,INC,,,,Secondary education,B40,.371985,2017
CRI,2022,FALSE,INC,,,,Secondary education,T60,.628015,2017
CRI,2022,FALSE,INC,,,,No education,B40,.6304163,2017
CRI,2022,FALSE,INC,,,,No education,T60,.3695837,2017
CRI,2022,FALSE,INC,,Male,,,B40,.3968274,2017
CRI,2022,FALSE,INC,,Male,,,T60,.6031726,2017
CRI,2022,FALSE,INC,,Female,,,B40,.4028608,2017
CRI,2022,FALSE,INC,,Female,,,T60,.5971392,2017
CRI,2022,FALSE,INC,R,,,,B40,.5426222,2017
CRI,2022,FALSE,INC,R,,,,T60,.4573778,2017
CRI,2022,FALSE,INC,U,,,,B40,.3456804,2017
CRI,2022,FALSE,INC,U,,,,T60,.6543196,2017
DJI,2017,FALSE,CONS,,,0-14,,B40,.4598187,2017
DJI,2017,FALSE,CONS,,,0-14,,T60,.5401813,2017
DJI,2017,FALSE,CONS,,,15-64,,B40,.3654895,2017
DJI,2017,FALSE,CONS,,,15-64,,T60,.6345105,2017
DJI,2017,FALSE,CONS,,,,Primary education,B40,.3371122,2017
DJI,2017,FALSE,CONS,,,,Primary education,T60,.6628878,2017
DJI,2017,FALSE,CONS,,,,Tertiary education,B40,.1183945,2017
DJI,2017,FALSE,CONS,,,,Tertiary education,T60,.8816055,2017
DJI,2017,FALSE,CONS,,,,Secondary education,B40,.277434,2017
